GalNAcol,HexNAc,Hex,Fuc,Neu5Ac,Neu5Gc,SO3-,mass
1,0,3,0,0,1,0,1333.6719
1,0,3,0,0,1,1,1421.6719
1,0,3,0,0,1,2,1509.6719
1,0,3,0,0,2,0,1724.8561
1,0,3,0,0,2,1,1812.8561
1,0,3,0,0,2,2,1900.8561
1,0,3,0,1,0,0,1303.6614
1,0,3,0,1,0,1,1391.6614
1,0,3,0,1,0,2,1479.6614
1,0,3,0,1,1,0,1694.8456
1,0,3,0,1,1,1,1782.8456
1,0,3,0,1,1,2,1870.8456
1,0,3,0,1,2,0,2086.0298
1,0,3,0,1,2,1,2174.0298
1,0,3,0,2,0,0,1664.8351
1,0,3,0,2,0,1,1752.8351
1,0,3,0,2,0,2,1840.8351
1,0,3,0,2,1,0,2056.0193
1,0,3,0,2,1,1,2144.0193
1,0,3,0,2,2,0,2447.2035
1,0,3,1,0,0,0,1116.5769
1,0,3,1,0,0,1,1204.5769
1,0,3,1,0,0,2,1292.5769
1,0,3,1,0,1,0,1507.7611
1,0,3,1,0,1,1,1595.7611
1,0,3,1,0,1,2,1683.7611
1,0,3,1,0,2,0,1898.9453
1,0,3,1,0,2,1,1986.9453
1,0,3,1,1,0,0,1477.7506
1,0,3,1,1,0,1,1565.7506
1,0,3,1,1,0,2,1653.7506
1,0,3,1,1,1,0,1868.9348
1,0,3,1,1,1,1,1956.9348
1,0,3,1,1,2,0,2260.119
1,0,3,1,2,0,0,1838.9243
1,0,3,1,2,0,1,1926.9243
1,0,3,1,2,1,0,2230.1085
1,0,3,2,0,0,0,1290.6661
1,0,3,2,0,0,1,1378.6661
1,0,3,2,0,0,2,1466.6661
1,0,3,2,0,1,0,1681.8503
1,0,3,2,0,1,1,1769.8503
1,0,3,2,0,2,0,2073.0345
1,0,3,2,1,0,0,1651.8398
1,0,3,2,1,0,1,1739.8398
1,0,3,2,1,1,0,2043.024
1,0,3,2,2,0,0,2013.0135
1,0,3,3,0,0,0,1464.7553
1,0,3,3,0,0,1,1552.7553
1,0,3,3,0,1,0,1855.9395
1,0,3,3,1,0,0,1825.929
1,0,3,4,0,0,0,1638.8445
1,1,0,0,0,0,0,575.3146
1,1,0,0,0,0,1,663.3146
1,1,0,0,0,0,2,751.3146
1,1,0,0,0,1,0,966.4988
1,1,0,0,0,1,1,1054.4988
1,1,0,0,0,2,0,1357.683
1,1,0,0,1,0,0,936.4883
1,1,0,0,1,0,1,1024.4883
1,1,0,0,1,1,0,1327.6725
1,1,0,0,2,0,0,1297.662
1,1,0,1,0,0,0,749.4038
1,1,0,1,0,0,1,837.4038
1,1,0,1,0,1,0,1140.588
1,1,0,1,1,0,0,1110.5775
1,1,0,2,0,0,0,923.493
1,1,1,0,0,0,0,779.4144
1,1,1,0,0,0,1,867.4144
1,1,1,0,0,0,2,955.4144
1,1,1,0,0,1,0,1170.5986
1,1,1,0,0,1,1,1258.5986
1,1,1,0,0,1,2,1346.5986
1,1,1,0,0,2,0,1561.7828
1,1,1,0,0,2,1,1649.7828
1,1,1,0,1,0,0,1140.5881
1,1,1,0,1,0,1,1228.5881
1,1,1,0,1,0,2,1316.5881
