GalNAcol,HexNAc,Hex,Fuc,Neu5Ac,Neu5Gc,SO3-,mass
1.0,0.0,3.0,1.0,0.0,0.0,0.0,1116.5769
1.0,0.0,3.0,1.0,0.0,0.0,1.0,1204.5769
1.0,0.0,3.0,1.0,0.0,0.0,2.0,1292.5769
1.0,0.0,3.0,1.0,1.0,0.0,0.0,1477.7506
1.0,0.0,3.0,1.0,1.0,0.0,1.0,1565.7506
1.0,0.0,3.0,1.0,1.0,0.0,2.0,1653.7506
1.0,0.0,3.0,1.0,2.0,0.0,0.0,1838.9243000000001
1.0,0.0,3.0,1.0,2.0,0.0,1.0,1926.9243000000001
1.0,0.0,3.0,2.0,0.0,0.0,0.0,1290.6661
1.0,0.0,3.0,2.0,0.0,0.0,1.0,1378.6661
1.0,0.0,3.0,2.0,1.0,0.0,0.0,1651.8398
1.0,0.0,3.0,2.0,1.0,0.0,1.0,1739.8398
1.0,0.0,3.0,2.0,2.0,0.0,0.0,2013.0135
1.0,0.0,3.0,3.0,0.0,0.0,0.0,1464.7553
1.0,0.0,3.0,3.0,1.0,0.0,0.0,1825.929
1.0,1.0,0.0,0.0,0.0,0.0,0.0,575.3146
1.0,1.0,0.0,0.0,0.0,0.0,1.0,663.3146
1.0,1.0,0.0,0.0,0.0,0.0,2.0,751.3146
1.0,1.0,0.0,0.0,1.0,0.0,0.0,936.4883
1.0,1.0,0.0,0.0,1.0,0.0,1.0,1024.4883
1.0,1.0,0.0,0.0,2.0,0.0,0.0,1297.662
1.0,1.0,0.0,1.0,0.0,0.0,0.0,749.4038
1.0,1.0,0.0,1.0,0.0,0.0,1.0,837.4038
1.0,1.0,0.0,1.0,1.0,0.0,0.0,1110.5775
1.0,1.0,0.0,2.0,0.0,0.0,0.0,923.493
1.0,1.0,1.0,0.0,0.0,0.0,0.0,779.4144
1.0,1.0,1.0,0.0,0.0,0.0,1.0,867.4144
1.0,1.0,1.0,0.0,0.0,0.0,2.0,955.4144
1.0,1.0,1.0,0.0,1.0,0.0,0.0,1140.5881
1.0,1.0,1.0,0.0,1.0,0.0,1.0,1228.5881
1.0,1.0,1.0,0.0,1.0,0.0,2.0,1316.5881
1.0,1.0,1.0,0.0,2.0,0.0,0.0,1501.7618
1.0,1.0,1.0,0.0,2.0,0.0,1.0,1589.7618
1.0,1.0,1.0,1.0,0.0,0.0,0.0,953.5036
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1041.5036
1.0,1.0,1.0,1.0,0.0,0.0,2.0,1129.5036
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1314.6773
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1402.6773
1.0,1.0,1.0,1.0,2.0,0.0,0.0,1675.851
1.0,1.0,1.0,2.0,0.0,0.0,0.0,1127.5928
1.0,1.0,1.0,2.0,0.0,0.0,1.0,1215.5928
1.0,1.0,1.0,2.0,1.0,0.0,0.0,1488.7665
1.0,1.0,1.0,3.0,0.0,0.0,0.0,1301.682
1.0,1.0,2.0,0.0,0.0,0.0,0.0,983.5142000000001
1.0,1.0,2.0,0.0,0.0,0.0,1.0,1071.5142
1.0,1.0,2.0,0.0,0.0,0.0,2.0,1159.5142
1.0,1.0,2.0,0.0,1.0,0.0,0.0,1344.6879000000001
1.0,1.0,2.0,0.0,1.0,0.0,1.0,1432.6879000000001
1.0,1.0,2.0,0.0,1.0,0.0,2.0,1520.6879000000001
1.0,1.0,2.0,0.0,2.0,0.0,0.0,1705.8616000000002
1.0,1.0,2.0,0.0,2.0,0.0,1.0,1793.8616000000002
1.0,1.0,2.0,0.0,2.0,0.0,2.0,1881.8616000000002
1.0,1.0,2.0,1.0,0.0,0.0,0.0,1157.6034
1.0,1.0,2.0,1.0,0.0,0.0,1.0,1245.6034
1.0,1.0,2.0,1.0,0.0,0.0,2.0,1333.6034
1.0,1.0,2.0,1.0,1.0,0.0,0.0,1518.7771
1.0,1.0,2.0,1.0,1.0,0.0,1.0,1606.7771
1.0,1.0,2.0,1.0,1.0,0.0,2.0,1694.7771
1.0,1.0,2.0,1.0,2.0,0.0,0.0,1879.9508
1.0,1.0,2.0,1.0,2.0,0.0,1.0,1967.9508
1.0,1.0,2.0,2.0,0.0,0.0,0.0,1331.6926
1.0,1.0,2.0,2.0,0.0,0.0,1.0,1419.6926
1.0,1.0,2.0,2.0,1.0,0.0,0.0,1692.8663000000001
1.0,1.0,2.0,2.0,1.0,0.0,1.0,1780.8663000000001
1.0,1.0,2.0,2.0,2.0,0.0,0.0,2054.04
1.0,1.0,2.0,3.0,0.0,0.0,0.0,1505.7818000000002
1.0,1.0,2.0,3.0,1.0,0.0,0.0,1866.9555000000003
1.0,1.0,3.0,0.0,0.0,0.0,0.0,1187.614
1.0,1.0,3.0,0.0,0.0,0.0,1.0,1275.614
1.0,1.0,3.0,0.0,0.0,0.0,2.0,1363.614
1.0,1.0,3.0,0.0,1.0,0.0,0.0,1548.7877
1.0,1.0,3.0,0.0,1.0,0.0,1.0,1636.7877
